distance,w_lat,w_lon,h_lat,h_lon
19511,37.011,-85.907,37.155,-85.780
4217,37.011,-85.907,37.044,-85.931
14411,37.011,-85.907,37.139,-85.934
13332,37.011,-85.907,37.104,-86.001
10171,37.011,-85.907,37.083,-85.977
15065,37.011,-85.907,37.048,-86.070
2344,37.011,-85.907,36.990,-85.912
2481,37.011,-85.907,36.989,-85.910
2806,37.011,-85.907,36.987,-85.916
3308,37.011,-85.907,36.982,-85.918
3649,37.011,-85.907,36.982,-85.927
3193,37.011,-85.907,36.993,-85.935
3735,37.011,-85.907,36.986,-85.936
4075,37.011,-85.907,36.982,-85.935
1501,37.011,-85.907,37.018,-85.921
312,37.011,-85.907,37.009,-85.909
8106,37.011,-85.907,37.017,-85.816
11909,37.011,-85.907,37.031,-85.775
4195,37.011,-85.907,37.008,-85.860
1779,37.011,-85.907,37.002,-85.890
2398,37.011,-85.907,37.029,-85.893
980,37.011,-85.907,37.002,-85.908
1526,37.011,-85.907,36.997,-85.905
1821,37.011,-85.907,36.994,-85.905
1692,37.011,-85.907,36.996,-85.909
1502,37.011,-85.907,37.000,-85.897
6418,37.011,-85.907,36.963,-85.867
7211,37.011,-85.907,36.953,-85.870
8794,37.011,-85.907,36.932,-85.911
8837,37.011,-85.907,36.934,-85.883
7553,37.011,-85.907,36.963,-85.967
5274,37.011,-85.907,36.979,-85.951
13818,37.011,-85.907,36.927,-86.022
9976,37.011,-85.907,36.977,-85.803
11212,37.011,-85.907,36.949,-85.807
13412,37.011,-85.907,36.890,-85.914
18942,37.011,-85.907,36.843,-85.870
35963,37.011,-85.907,37.265,-85.655
39651,37.011,-85.907,37.340,-85.733
77721,37.011,-85.907,37.466,-85.241
22884,37.011,-85.907,36.883,-85.705
27310,37.011,-85.907,36.876,-85.650
26463,37.011,-85.907,36.844,-85.694
20634,37.011,-85.907,37.032,-85.676
28053,37.011,-85.907,37.009,-85.592
31139,37.011,-85.907,37.014,-85.557
32809,37.011,-85.907,36.991,-85.539
73191,37.011,-85.907,37.065,-85.087
69851,37.011,-85.907,37.323,-85.224
50626,37.011,-85.907,36.977,-86.474
41420,37.011,-85.907,37.023,-86.372
46777,37.011,-85.907,36.896,-86.412
1912,38.983,-84.626,39.000,-84.630
1644,38.983,-84.626,38.995,-84.637
2617,38.983,-84.626,39.005,-84.616
1363,38.983,-84.626,38.995,-84.629
1415,38.983,-84.626,38.995,-84.621
1645,38.983,-84.626,38.996,-84.617
533,38.983,-84.626,38.987,-84.629
4740,38.983,-84.626,38.940,-84.628
4354,38.983,-84.626,38.943,-84.628
4053,38.983,-84.626,38.946,-84.627
6057,38.983,-84.626,39.007,-84.689
6034,38.983,-84.626,38.983,-84.696
4318,38.983,-84.626,38.959,-84.665
2854,38.983,-84.626,38.966,-84.651
1743,38.983,-84.626,38.972,-84.641
1795,38.983,-84.626,38.970,-84.638
2015,38.983,-84.626,38.976,-84.648
4482,38.983,-84.626,38.948,-84.652
10016,38.983,-84.626,39.073,-84.631
2816,38.983,-84.626,38.990,-84.657
4542,38.983,-84.626,38.987,-84.678
18796,38.983,-84.626,39.124,-84.745
10796,38.983,-84.626,39.064,-84.695
13771,38.983,-84.626,39.066,-84.744
13207,38.983,-84.626,39.075,-84.722
11963,38.983,-84.626,39.070,-84.707
23053,38.983,-84.626,39.068,-84.868
12853,38.983,-84.626,38.985,-84.774
11520,38.983,-84.626,38.973,-84.758
8751,38.983,-84.626,39.030,-84.707
11905,38.983,-84.626,39.018,-84.756
7546,38.983,-84.626,38.917,-84.649
6946,38.983,-84.626,38.921,-84.637
6816,38.983,-84.626,38.923,-84.644
12968,38.983,-84.626,38.866,-84.615
93052,38.983,-84.626,38.194,-84.265
16203,38.983,-84.626,39.087,-84.495
15658,38.983,-84.626,39.082,-84.498
19498,38.983,-84.626,39.110,-84.470
19935,38.983,-84.626,39.114,-84.469
22025,38.983,-84.626,38.962,-84.373
18825,38.983,-84.626,38.962,-84.410
19124,38.983,-84.626,38.919,-84.421
16634,38.983,-84.626,39.076,-84.475
16944,38.983,-84.626,39.070,-84.466
16491,38.983,-84.626,39.082,-84.484
14618,38.983,-84.626,39.058,-84.487
13987,38.983,-84.626,39.033,-84.478
20849,38.983,-84.626,38.830,-84.765
26619,38.983,-84.626,38.743,-84.634
22088,38.983,-84.626,38.785,-84.595
43142,38.983,-84.626,38.594,-84.639
74477,38.983,-84.626,38.376,-84.261
13094,38.983,-84.626,39.046,-84.499
12992,38.983,-84.626,39.042,-84.496
13039,38.983,-84.626,39.039,-84.494
12756,38.983,-84.626,39.046,-84.503
2874,38.983,-84.626,38.980,-84.593
2922,38.983,-84.626,38.992,-84.594
3133,38.983,-84.626,38.991,-84.592
3545,38.983,-84.626,38.982,-84.585
4346,38.983,-84.626,38.991,-84.577
4784,38.983,-84.626,38.980,-84.571
4733,38.983,-84.626,38.985,-84.571
2759,38.983,-84.626,38.974,-84.596
4674,38.983,-84.626,38.953,-84.587
5496,38.983,-84.626,38.939,-84.596
7674,38.983,-84.626,38.970,-84.539
7858,38.983,-84.626,38.966,-84.538
15605,38.983,-84.626,38.846,-84.584
14437,38.983,-84.626,39.090,-84.533
9290,38.983,-84.626,39.066,-84.611
7767,38.983,-84.626,39.048,-84.595
8055,38.983,-84.626,39.053,-84.603
4198,38.983,-84.626,39.017,-84.605
5004,38.983,-84.626,39.024,-84.604
4394,38.983,-84.626,39.010,-84.589
5547,38.983,-84.626,39.018,-84.581
4356,38.983,-84.626,39.006,-84.585
7832,38.983,-84.626,39.038,-84.570
9185,38.983,-84.626,39.037,-84.546
8414,38.983,-84.626,39.038,-84.560
13077,38.983,-84.626,39.066,-84.519
12942,38.983,-84.626,39.058,-84.512
9943,38.983,-84.626,39.005,-84.515
11013,38.983,-84.626,39.015,-84.506
11053,38.983,-84.626,38.991,-84.499
5969,38.983,-84.626,39.016,-84.572
4797,38.983,-84.626,39.002,-84.576
4612,38.983,-84.626,39.001,-84.578
3093,38.983,-84.626,39.002,-84.600
3638,38.983,-84.626,39.004,-84.595
3461,38.983,-84.626,39.004,-84.597
11993,38.983,-84.626,38.959,-84.491
11780,38.983,-84.626,38.965,-84.492
7918,38.983,-84.626,38.975,-84.535
9089,38.983,-84.626,38.976,-84.521
15396,38.983,-84.626,39.084,-84.505
14800,38.983,-84.626,39.079,-84.508
89440,38.983,-84.626,38.360,-83.974
58197,38.983,-84.626,38.521,-84.943
52416,38.983,-84.626,38.539,-84.834
91993,38.983,-84.626,38.310,-85.243
95880,38.983,-84.626,38.264,-85.236
2660,38.978,-84.626,39.002,-84.621
1089,38.978,-84.626,38.986,-84.633
4208,38.978,-84.626,38.940,-84.628
3822,38.978,-84.626,38.943,-84.628
2497,38.978,-84.626,38.955,-84.624
6077,38.978,-84.626,38.983,-84.696
4372,38.978,-84.626,38.955,-84.667
3520,38.978,-84.626,38.961,-84.660
1993,38.978,-84.626,38.979,-84.649
5171,38.978,-84.626,38.945,-84.668
5050,38.978,-84.626,38.937,-84.651
3094,38.978,-84.626,38.992,-84.657
16211,38.978,-84.626,39.100,-84.728
11395,38.978,-84.626,38.896,-84.705
16506,38.978,-84.626,39.086,-84.495
16655,38.978,-84.626,39.085,-84.491
20553,38.978,-84.626,39.115,-84.466
22781,38.978,-84.626,38.955,-84.364
14726,38.978,-84.626,39.053,-84.486
34828,38.978,-84.626,38.719,-84.853
32911,38.978,-84.626,38.690,-84.718
27585,38.978,-84.626,38.734,-84.565
38688,38.978,-84.626,38.637,-84.533
6792,38.978,-84.626,38.984,-84.548
2568,38.978,-84.626,38.971,-84.597
2856,38.978,-84.626,38.959,-84.604
14180,38.978,-84.626,39.069,-84.511
11093,38.978,-84.626,38.991,-84.499
13449,38.978,-84.626,39.086,-84.555
14223,38.978,-84.626,39.092,-84.551
35846,38.978,-84.626,38.703,-84.410
2344,38.974,-84.634,38.989,-84.615
1951,38.974,-84.634,38.986,-84.617
2332,38.974,-84.634,38.995,-84.629
2049,38.974,-84.634,38.991,-84.626
1447,38.974,-84.634,38.965,-84.622
1740,38.974,-84.634,38.958,-84.634
3803,38.974,-84.634,38.940,-84.628
2489,38.974,-84.634,38.952,-84.629
2596,38.974,-84.634,38.951,-84.629
7083,38.974,-84.634,39.017,-84.695
4425,38.974,-84.634,38.978,-84.685
1156,38.974,-84.634,38.980,-84.645
4358,38.974,-84.634,38.945,-84.668
3879,38.974,-84.634,38.939,-84.642
7138,38.974,-84.634,39.038,-84.623
4126,38.974,-84.634,38.996,-84.672
4081,38.974,-84.634,38.987,-84.678
3097,38.974,-84.634,38.981,-84.669
2447,38.974,-84.634,38.977,-84.662
15059,38.974,-84.634,38.948,-84.805
9057,38.974,-84.634,39.029,-84.712
8542,38.974,-84.634,39.008,-84.723
6770,38.974,-84.634,38.925,-84.680
13146,38.974,-84.634,38.875,-84.718
5734,38.974,-84.634,38.923,-84.644
17220,38.974,-84.634,39.088,-84.500
17448,38.974,-84.634,39.087,-84.494
16977,38.974,-84.634,39.083,-84.497
21286,38.974,-84.634,39.115,-84.467
20438,38.974,-84.634,38.943,-84.402
23029,38.974,-84.634,38.876,-84.400
24678,38.974,-84.634,38.898,-84.367
21162,38.974,-84.634,38.858,-84.440
18928,38.974,-84.634,39.083,-84.467
19467,38.974,-84.634,39.044,-84.428
18968,38.974,-84.634,39.025,-84.425
19298,38.974,-84.634,39.028,-84.422
18520,38.974,-84.634,39.097,-84.489
15909,38.974,-84.634,39.035,-84.468
16887,38.974,-84.634,39.040,-84.458
56317,38.974,-84.634,38.602,-85.075
34061,38.974,-84.634,38.719,-84.853
21995,38.974,-84.634,38.811,-84.778
20500,38.974,-84.634,38.791,-84.607
28331,38.974,-84.634,38.719,-84.654
34713,38.974,-84.634,38.662,-84.603
32520,38.974,-84.634,38.683,-84.589
37476,38.974,-84.634,38.640,-84.573
15655,38.974,-84.634,39.066,-84.497
15982,38.974,-84.634,39.073,-84.500
15038,38.974,-84.634,39.063,-84.504
14084,38.974,-84.634,39.042,-84.497
14965,38.974,-84.634,39.076,-84.521
3249,38.974,-84.634,38.995,-84.608
3499,38.974,-84.634,38.990,-84.600
4562,38.974,-84.634,38.993,-84.587
3307,38.974,-84.634,38.974,-84.596
3133,38.974,-84.634,38.959,-84.604
4675,38.974,-84.634,38.953,-84.587
4772,38.974,-84.634,38.957,-84.583
7785,38.974,-84.634,38.963,-84.545
6030,38.974,-84.634,38.950,-84.572
4908,38.974,-84.634,38.937,-84.604
13254,38.974,-84.634,38.882,-84.537
21490,38.974,-84.634,38.803,-84.517
12859,38.974,-84.634,38.902,-84.518
21453,38.974,-84.634,38.825,-84.477
7123,38.974,-84.634,39.037,-84.617
6896,38.974,-84.634,39.035,-84.617
5594,38.974,-84.634,39.018,-84.603
9206,38.974,-84.634,39.038,-84.567
8862,38.974,-84.634,39.030,-84.562
9676,38.974,-84.634,39.041,-84.562
14017,38.974,-84.634,39.069,-84.528
15082,38.974,-84.634,39.070,-84.512
14040,38.974,-84.634,39.058,-84.513
5199,38.974,-84.634,39.009,-84.595
4594,38.974,-84.634,39.005,-84.600
4696,38.974,-84.634,38.996,-84.588
11173,38.974,-84.634,38.941,-84.512
10788,38.974,-84.634,38.954,-84.512
37938,38.974,-84.634,38.806,-84.254
45623,38.974,-84.634,38.651,-84.310
85675,38.974,-84.634,38.203,-84.580
85951,38.974,-84.634,38.201,-84.568
4179,38.971,-84.623,39.007,-84.634
3426,38.971,-84.623,39.002,-84.621
3447,38.971,-84.623,38.940,-84.628
3066,38.971,-84.623,38.943,-84.628
2158,38.971,-84.623,38.952,-84.629
7108,38.971,-84.623,38.991,-84.700
6048,38.971,-84.623,38.998,-84.683
20070,38.971,-84.623,39.124,-84.745
11767,38.971,-84.623,38.973,-84.758
6582,38.971,-84.623,38.923,-84.668
20893,38.971,-84.623,38.969,-84.381
15175,38.971,-84.623,39.035,-84.468
23408,38.971,-84.623,38.760,-84.619
36199,38.971,-84.623,38.649,-84.553
